pre_process_speed, inference_speed, post_process_speed, man_down_speed, deep_sort_speed,CPU_utilization_rate, CPU_temperature, CPU_power_consumption, GPU_memory_used, GPU_utilization_rate, GPU_temperature, GPU_power_consumption
0.4878044128417969, 326.0812759399414, 1.0423660278320312, 0.3228187561035156, 157.2723388671875, 100.0, 66.8,0.0,0.0,0.0,0.0,0.0,0.0
0.7002353668212891, 326.8604278564453, 1.024007797241211, 0.3495216369628906, 155.43293952941895, 100.0, 67.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6444454193115234, 322.9861259460449, 1.0688304901123047, 0.32901763916015625, 153.57494354248047, 100.0, 66.7,0.0,0.0,0.0,0.0,0.0,0.0
0.6959438323974609, 318.2532787322998, 1.0364055633544922, 0.3466606140136719, 157.196044921875, 100.0, 67.3,0.0,0.0,0.0,0.0,0.0,0.0
0.7309913635253906, 327.739953994751, 1.0824203491210938, 0.3457069396972656, 154.02674674987793, 100.0, 67.2,0.0,0.0,0.0,0.0,0.0,0.0
0.7205009460449219, 317.080020904541, 1.0704994201660156, 0.3402233123779297, 153.5201072692871, 100.0, 66.4,0.0,0.0,0.0,0.0,0.0,0.0
0.7507801055908203, 325.6511688232422, 1.0552406311035156, 0.3113746643066406, 108.34813117980957, 100.0, 67.2,0.0,0.0,0.0,0.0,0.0,0.0
0.6368160247802734, 329.70547676086426, 1.024484634399414, 0.35381317138671875, 154.24060821533203, 100.0, 67.2,0.0,0.0,0.0,0.0,0.0,0.0
0.7507801055908203, 329.7562599182129, 1.03759765625, 0.331878662109375, 155.22122383117676, 100.0, 67.5,0.0,0.0,0.0,0.0,0.0,0.0
0.8463859558105469, 324.0361213684082, 1.0721683502197266, 0.3399848937988281, 156.99052810668945, 100.0, 67.6,0.0,0.0,0.0,0.0,0.0,0.0
0.5009174346923828, 315.5343532562256, 1.058816909790039, 0.3304481506347656, 151.55339241027832, 99.9, 67.5,0.0,0.0,0.0,0.0,0.0,0.0
0.7843971252441406, 321.75731658935547, 1.020669937133789, 0.33855438232421875, 156.13174438476562, 100.0, 67.5,0.0,0.0,0.0,0.0,0.0,0.0
0.7052421569824219, 315.08588790893555, 1.0509490966796875, 0.3292560577392578, 156.2485694885254, 100.0, 67.7,0.0,0.0,0.0,0.0,0.0,0.0
0.614166259765625, 314.90063667297363, 1.0199546813964844, 0.3402233123779297, 155.0922393798828, 100.0, 67.2,0.0,0.0,0.0,0.0,0.0,0.0
0.7600784301757812, 315.5505657196045, 0.7982254028320312, 0.3402233123779297, 155.0922393798828, 100.0, 68.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8051395416259766, 304.63361740112305, 1.054525375366211, 0.33473968505859375, 157.8073501586914, 100.0, 67.5,0.0,0.0,0.0,0.0,0.0,0.0
0.6539821624755859, 317.70920753479004, 1.0807514190673828, 0.32520294189453125, 152.71615982055664, 100.0, 68.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7147789001464844, 314.8212432861328, 1.0633468627929688, 0.3273487091064453, 151.29327774047852, 100.0, 67.3,0.0,0.0,0.0,0.0,0.0,0.0
0.7452964782714844, 315.0219917297363, 1.0478496551513672, 0.33354759216308594, 201.4179229736328, 100.0, 67.8,0.0,0.0,0.0,0.0,0.0,0.0
0.48089027404785156, 306.0131072998047, 1.0471343994140625, 0.3223419189453125, 199.54371452331543, 100.0, 67.7,0.0,0.0,0.0,0.0,0.0,0.0
0.7469654083251953, 308.7639808654785, 1.0330677032470703, 0.3306865692138672, 200.4685401916504, 100.0, 67.8,0.0,0.0,0.0,0.0,0.0,0.0
0.5164146423339844, 305.9968948364258, 1.0495185852050781, 0.3273487091064453, 199.53465461730957, 100.0, 68.5,0.0,0.0,0.0,0.0,0.0,0.0
